C,Si,Mn,P,S,Al,V,Nb,Ti,a_temp,r
0.019,0.29,1.938,0.019,0.004,0.029,0.096,0.036,0.01,830,1.7
0.019,0.321,1.876,0.02,0.004,0.029,0.049,0.045,0.006,834,1.7
0.019,0.266,1.9,0.018,0.004,0.029,0.087,0.029,0.014,828,1.7
0.007,0.353,1.888,0.008,0.004,0.031,0.062,0,0.001,828,1.8
0.008,0.328,1.749,0.011,0.005,0.031,0.081,0.012,0.009,825,1.8
0.009,0.3,1.721,0.007,0.005,0.032,0.068,0.01,0.007,820,1.8
0.097,0.32,1.752,0.01,0.002,0.028,0.364,0.014,0.01,829,0.8
0.098,0.388,1.667,0.009,0.003,0.029,0.369,0.008,0.002,827,0.8
0.095,0.331,1.653,0.012,0.003,0.028,0.368,0,0.002,831,0.8
0.021,0.508,1.566,0.01,0.002,0.029,0,2.04E+00,0.005,850,0.8
0.022,0.483,1.481,0.009,0.001,0.03,0,0.007,0.02,851,0.8
0.019,0.453,1.526,0.011,0.001,0.03,0.002,0.01,0.005,855,0.8
0.023,0.5,1.362,0.029,0,0.03,0.584,0,0,851,1.6
0.025,0.49,1.509,0.032,0,0.03,0.596,0.018,0,851,1.6
0.023,0.514,1.466,0.027,0.001,0.03,0.598,0.012,0,847,1.6
0.022,0.438,1.83,0.047,0.002,0.028,0.112,0,0.001,855,1.7
0.021,0.352,1.75,0.048,0.003,0.028,0.114,0.023,0.005,848,1.7
0.023,0.355,1.675,0.049,0.003,0.029,0.123,0,0.007,850,1.7
0.023,0.439,1.813,0.041,0.003,0.026,0.05,0.314,0,854,1.6
0.02,0.476,1.816,0.04,0.003,0.027,0.059,0.32,0,852,1.6
0.024,0.456,1.764,0.041,0.003,0.026,0.073,0.324,0.001,849,1.6
0.018,0.336,1.71,0.051,0.001,0.033,0.119,0.019,0.02,833,1.7
0.022,0.383,1.693,0.047,0,0.034,0.091,0,0,830,1.7
0.02,0.317,1.738,0.05,0,0.033,0.094,0.002,0.004,830,1.7
0.025,0.325,1.791,0.052,0.002,0.032,0.321,0.01,0.299,848,1.7
0.024,0.378,1.781,0.049,0.002,0.031,0.334,0.01,0.319,852,1.7
0.024,0.36,1.743,0.05,0.001,0.032,0.334,0.017,0.312,849,1.7
0.018,0.015,1.553,0.01,0.002,0.033,0.044,0.02,0.01,832,0.8
0.02,0.03,1.497,0.01,0.003,0.032,0.027,0.01,0,833,0.8
0.019,0.02,1.418,0.009,0.003,0.032,0.023,0.003,0.002,826,0.8
0.024,0.024,1.595,0.008,0.002,0.035,0.33,0,0.015,830,1.7
0.02,0.009,1.725,0.009,0.002,0.035,0.311,0,0,823,1.7
0.022,0.009,1.66,0.011,0.003,0.035,0.292,0.003,0.011,824,1.7
0.039,0.408,2.834,0.011,0.004,0.032,0.172,0.01,0.001,778,1.1
0.038,0.467,2.813,0.011,0.004,0.033,0.158,0,0.002,773,1.1
0.037,0.463,2.873,0.007,0.003,0.033,0.148,0.004,0,782,1.1
0.041,0.78,2.433,0.01,0.001,0.035,0.049,0.177,0.007,776,1.4
0.043,0.796,2.562,0.011,0.001,0.034,0.028,0.174,0,774,1.4
0.039,0.76,2.49,0.009,0.001,0.034,0.079,0.166,0,779,1.4
0.038,0.75,2.555,0.009,0.009,0.033,0.085,0.01,0.059,759,1.4
0.035,0.742,2.545,0.008,0.009,0.032,0.079,0,0.054,758,1.4
0.036,0.694,2.57,0.011,0.008,0.032,0.093,0.01,0.072,763,1.4
0.049,0.792,2.54,0.011,0.005,0.036,0.043,0.052,0,773,1.3
0.049,0.737,2.538,0.01,0.006,0.035,0.042,0.096,0.007,766,1.3
0.045,0.751,2.406,0.009,0.005,0.036,0.04,0.081,0.005,769,1.3
0.038,0.735,2.534,0.01,0.006,0.035,0.179,0.198,0.252,768,1.5
0.038,0.726,2.549,0.011,0.006,0.035,0.205,0.197,0.254,782,1.5
0.038,0.759,2.56,0.009,0.006,0.034,0.165,0.187,0.267,782,1.5
0.049,0.746,2.578,0.007,0.007,0.038,0.025,0.012,0.019,777,0.8
0.043,0.759,2.58,0.01,0.006,0.037,0.012,0.011,0.009,779,0.8
0.046,0.725,2.549,0.008,0.007,0.038,0.024,0.013,0.005,783,0.8
0.039,0.941,2.949,0.049,0.003,0.039,0.03,0.023,0.105,757,1.3
0.042,0.941,2.992,0.049,0.004,0.038,0.031,0.02,0.112,760,1.3
0.04,0.949,2.949,0.049,0.004,0.038,0.007,0.014,0.112,765,1.3
0.043,0.823,2.881,0.049,0.008,0.032,0.148,0.031,0.068,784,1.1
0.042,0.835,2.791,0.051,0.008,0.032,0.137,0.057,0.05,776,1.1
0.041,0.749,2.784,0.05,0.009,0.033,0.154,0.022,0.058,780,1.1
0.049,0.946,2.885,0.047,0.006,0.034,0.03,0.181,0.146,784,1.4
0.047,0.907,2.788,0.04,0.005,0.033,0.018,0.175,0.138,783,1.4
0.047,0.973,2.786,0.039,0.005,0.033,0.017,0.175,0.147,780,1.4
0.042,0.84,2.759,0.041,0.007,0.033,0.021,0.02,0.001,756,0.8
0.041,0.907,2.726,0.039,0.006,0.033,0.018,0.01,0.011,761,0.8
0.044,0.872,2.8,0.039,0.007,0.033,0.001,0.01,0.01,757,0.8
0.035,0.902,2.686,0.038,0.006,0.035,0.55,0.008,0.01,781,1.4
0.036,0.906,2.728,0.043,0.005,0.034,0.559,0,0.004,781,1.4
0.036,0.951,2.741,0.04,0.006,0.035,0.533,0.007,0.002,778,1.4
0.044,0.805,2.705,0.015,0.003,0.03,0.098,0.008,0.003,776,1.1
0.041,0.765,2.69,0.021,0.003,0.03,0.086,0.002,0.003,781,1.1
0.039,0.817,2.578,0.021,0.003,0.03,0.119,0.013,0.001,780,1.1
0.042,0.798,2.721,0.019,0.002,0.03,0.019,0.065,0.003,758,1.3
0.041,0.801,2.565,0.016,0.002,0.03,0.044,0.077,0.01,758,1.3
0.041,0.808,2.645,0.02,0.003,0.03,0.041,0.063,0,756,1.3
0.042,0.766,2.756,0.029,0.002,0.029,0.074,0.302,0.003,775,1.3
0.039,0.777,2.638,0.03,0.003,0.029,0.075,0.298,0.008,777,1.3
